description,region,composite_type,phase,start_date,end_date,scene_count,tiff_task_id,jpeg_task_id,tiff_drive_folder,jpeg_drive_folder,scale_m,crs,bands_tiff,bands_jpeg,export_timestamp
MON_Hasdeo_Full_2018_01_first_event,Hasdeo_Full,monthly,first_event,2018-01-01,2018-02-01,16,HYSASWRM3L5DLEYDH7XCU5Y2,F2PHRWE557FMSWZ7LUG2SBYK,Hasdeo_Dataset_300/GeoTIFF/monthly,Hasdeo_Dataset_300/JPEG/monthly,10,EPSG:32644,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI","B4,B3,B2 (RGB visualised)",2026-02-21T03:23:52.473346
MON_Hasdeo_Full_2018_02_first_event,Hasdeo_Full,monthly,first_event,2018-02-01,2018-03-01,3,P5EDVGOJAIVJO3KAII7M6EQ2,VOUSFOWJXTT5XS7LIH34DYN6,Hasdeo_Dataset_300/GeoTIFF/monthly,Hasdeo_Dataset_300/JPEG/monthly,10,EPSG:32644,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI","B4,B3,B2 (RGB visualised)",2026-02-21T03:23:56.413130
MON_Hasdeo_Full_2018_03_first_event,Hasdeo_Full,monthly,first_event,2018-03-01,2018-04-01,8,X6T3US523442RHUDK5BPYVBM,53ULXPPPRKK455G7L6CFK2SE,Hasdeo_Dataset_300/GeoTIFF/monthly,Hasdeo_Dataset_300/JPEG/monthly,10,EPSG:32644,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI","B4,B3,B2 (RGB visualised)",2026-02-21T03:24:01.427857
MON_Hasdeo_Full_2018_04_first_event,Hasdeo_Full,monthly,first_event,2018-04-01,2018-05-01,3,DKZAF6ATGHVDDAUUXZS32JIH,EDRMEHUIXG7RQCWYH76XC24J,Hasdeo_Dataset_300/GeoTIFF/monthly,Hasdeo_Dataset_300/JPEG/monthly,10,EPSG:32644,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI","B4,B3,B2 (RGB visualised)",2026-02-21T03:24:05.524164
MON_Hasdeo_Full_2018_10_first_event,Hasdeo_Full,monthly,first_event,2018-10-01,2018-11-01,1,URQ6F27MQXMPOG3JOH62IBPX,TCYVFMLWPK2UW2NKUGZWWSWJ,Hasdeo_Dataset_300/GeoTIFF/monthly,Hasdeo_Dataset_300/JPEG/monthly,10,EPSG:32644,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI","B4,B3,B2 (RGB visualised)",2026-02-21T03:24:20.372189
MON_Hasdeo_Full_2018_11_first_event,Hasdeo_Full,monthly,first_event,2018-11-01,2018-12-01,12,IAUQLZZQKBAZCPS4XSTAYRGE,BCWHKCI4R4VLP6EPDOL27SN3,Hasdeo_Dataset_300/GeoTIFF/monthly,Hasdeo_Dataset_300/JPEG/monthly,10,EPSG:32644,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI","B4,B3,B2 (RGB visualised)",2026-02-21T03:24:25.596434
MON_Hasdeo_Full_2018_12_first_event,Hasdeo_Full,monthly,first_event,2018-12-01,2019-01-01,10,3IR3HM2VLJQMAYS7FYUGP7MF,YZOTL3VESU3SNTJBXUCV2ZPG,Hasdeo_Dataset_300/GeoTIFF/monthly,Hasdeo_Dataset_300/JPEG/monthly,10,EPSG:32644,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI","B4,B3,B2 (RGB visualised)",2026-02-21T03:24:30.506081
MON_Hasdeo_Full_2019_01_first_event,Hasdeo_Full,monthly,first_event,2019-01-01,2019-02-01,24,CRL2ODTZ3EWUWLDR2XU6ESBA,C5DGC66HLZU7UWZI7KDX4AZM,Hasdeo_Dataset_300/GeoTIFF/monthly,Hasdeo_Dataset_300/JPEG/monthly,10,EPSG:32644,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI","B4,B3,B2 (RGB visualised)",2026-02-21T03:24:33.402343
MON_Hasdeo_Full_2019_02_first_event,Hasdeo_Full,monthly,first_event,2019-02-01,2019-03-01,15,OE4VTOWQBPNVKM37QXRG72PG,SYG3YRLXHXOKPHL5S6EL5TZT,Hasdeo_Dataset_300/GeoTIFF/monthly,Hasdeo_Dataset_300/JPEG/monthly,10,EPSG:32644,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI","B4,B3,B2 (RGB visualised)",2026-02-21T03:24:37.476776
MON_Hasdeo_Full_2019_03_first_event,Hasdeo_Full,monthly,first_event,2019-03-01,2019-04-01,22,NVWNBTDLKNEXCKCCQOTRMMFG,AZSX2UMQFEZYO3KK4JURS3N2,Hasdeo_Dataset_300/GeoTIFF/monthly,Hasdeo_Dataset_300/JPEG/monthly,10,EPSG:32644,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI","B4,B3,B2 (RGB visualised)",2026-02-21T03:24:41.876891
MON_Hasdeo_Full_2019_04_first_event,Hasdeo_Full,monthly,first_event,2019-04-01,2019-05-01,16,ITOKB3J47DYR3IBBKEISIE5W,7O4Q22KBXO74DIWXGABVOM6T,Hasdeo_Dataset_300/GeoTIFF/monthly,Hasdeo_Dataset_300/JPEG/monthly,10,EPSG:32644,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI","B4,B3,B2 (RGB visualised)",2026-02-21T03:24:46.792305
