jpeg_filename,tiff_filename,month_code,month_name,location,direction,year,month_number,year_month,event_type,extra_fields,local_jpeg_directory,local_jpeg_full_path,drive_folder_link,expected_tiff_name
ANN_Control_Forest_2016.jpg,ANN_Control_Forest_2016.tif,,,,,,,,,ANN_Control_Forest_2016,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg/ANN_Control_Forest_2016.jpg,https://drive.google.com/drive/folders/14MW_Qga2Y_h01NRbgxa2P9PJuD6E0sIj?usp=share_link,ANN_Control_Forest_2016.tif
ANN_Control_Forest_2018.jpg,ANN_Control_Forest_2018.tif,,,,,,,,,ANN_Control_Forest_2018,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg/ANN_Control_Forest_2018.jpg,https://drive.google.com/drive/folders/14MW_Qga2Y_h01NRbgxa2P9PJuD6E0sIj?usp=share_link,ANN_Control_Forest_2018.tif
ANN_Hasdeo_Full_2016.jpg,ANN_Hasdeo_Full_2016.tif,,,,,,,,,ANN_Hasdeo_Full_2016,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg/ANN_Hasdeo_Full_2016.jpg,https://drive.google.com/drive/folders/14MW_Qga2Y_h01NRbgxa2P9PJuD6E0sIj?usp=share_link,ANN_Hasdeo_Full_2016.tif
ANN_Hasdeo_Full_2017.jpg,ANN_Hasdeo_Full_2017.tif,,,,,,,,,ANN_Hasdeo_Full_2017,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg/ANN_Hasdeo_Full_2017.jpg,https://drive.google.com/drive/folders/14MW_Qga2Y_h01NRbgxa2P9PJuD6E0sIj?usp=share_link,ANN_Hasdeo_Full_2017.tif
ANN_Hasdeo_Full_2018.jpg,ANN_Hasdeo_Full_2018.tif,,,,,,,,,ANN_Hasdeo_Full_2018,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg/ANN_Hasdeo_Full_2018.jpg,https://drive.google.com/drive/folders/14MW_Qga2Y_h01NRbgxa2P9PJuD6E0sIj?usp=share_link,ANN_Hasdeo_Full_2018.tif
ANN_Hasdeo_Full_2019.jpg,ANN_Hasdeo_Full_2019.tif,,,,,,,,,ANN_Hasdeo_Full_2019,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg/ANN_Hasdeo_Full_2019.jpg,https://drive.google.com/drive/folders/14MW_Qga2Y_h01NRbgxa2P9PJuD6E0sIj?usp=share_link,ANN_Hasdeo_Full_2019.tif
ANN_Hasdeo_Full_2020.jpg,ANN_Hasdeo_Full_2020.tif,,,,,,,,,ANN_Hasdeo_Full_2020,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg/ANN_Hasdeo_Full_2020.jpg,https://drive.google.com/drive/folders/14MW_Qga2Y_h01NRbgxa2P9PJuD6E0sIj?usp=share_link,ANN_Hasdeo_Full_2020.tif
ANN_Hasdeo_Full_2021.jpg,ANN_Hasdeo_Full_2021.tif,,,,,,,,,ANN_Hasdeo_Full_2021,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg/ANN_Hasdeo_Full_2021.jpg,https://drive.google.com/drive/folders/14MW_Qga2Y_h01NRbgxa2P9PJuD6E0sIj?usp=share_link,ANN_Hasdeo_Full_2021.tif
ANN_Hasdeo_Full_2022.jpg,ANN_Hasdeo_Full_2022.tif,,,,,,,,,ANN_Hasdeo_Full_2022,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg/ANN_Hasdeo_Full_2022.jpg,https://drive.google.com/drive/folders/14MW_Qga2Y_h01NRbgxa2P9PJuD6E0sIj?usp=share_link,ANN_Hasdeo_Full_2022.tif
ANN_Hasdeo_Full_2023.jpg,ANN_Hasdeo_Full_2023.tif,,,,,,,,,ANN_Hasdeo_Full_2023,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg/ANN_Hasdeo_Full_2023.jpg,https://drive.google.com/drive/folders/14MW_Qga2Y_h01NRbgxa2P9PJuD6E0sIj?usp=share_link,ANN_Hasdeo_Full_2023.tif
ANN_Hasdeo_Full_2024.jpg,ANN_Hasdeo_Full_2024.tif,,,,,,,,,ANN_Hasdeo_Full_2024,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg/ANN_Hasdeo_Full_2024.jpg,https://drive.google.com/drive/folders/14MW_Qga2Y_h01NRbgxa2P9PJuD6E0sIj?usp=share_link,ANN_Hasdeo_Full_2024.tif
ANN_Hasdeo_Full_2025.jpg,ANN_Hasdeo_Full_2025.tif,,,,,,,,,ANN_Hasdeo_Full_2025,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg/ANN_Hasdeo_Full_2025.jpg,https://drive.google.com/drive/folders/14MW_Qga2Y_h01NRbgxa2P9PJuD6E0sIj?usp=share_link,ANN_Hasdeo_Full_2025.tif
ANN_Kente_Extension_2016.jpg,ANN_Kente_Extension_2016.tif,,,,,,,,,ANN_Kente_Extension_2016,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg/ANN_Kente_Extension_2016.jpg,https://drive.google.com/drive/folders/14MW_Qga2Y_h01NRbgxa2P9PJuD6E0sIj?usp=share_link,ANN_Kente_Extension_2016.tif
ANN_Kente_Extension_2017.jpg,ANN_Kente_Extension_2017.tif,,,,,,,,,ANN_Kente_Extension_2017,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg/ANN_Kente_Extension_2017.jpg,https://drive.google.com/drive/folders/14MW_Qga2Y_h01NRbgxa2P9PJuD6E0sIj?usp=share_link,ANN_Kente_Extension_2017.tif
ANN_Kente_Extension_2018.jpg,ANN_Kente_Extension_2018.tif,,,,,,,,,ANN_Kente_Extension_2018,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg/ANN_Kente_Extension_2018.jpg,https://drive.google.com/drive/folders/14MW_Qga2Y_h01NRbgxa2P9PJuD6E0sIj?usp=share_link,ANN_Kente_Extension_2018.tif
ANN_Kente_Extension_2019.jpg,ANN_Kente_Extension_2019.tif,,,,,,,,,ANN_Kente_Extension_2019,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg/ANN_Kente_Extension_2019.jpg,https://drive.google.com/drive/folders/14MW_Qga2Y_h01NRbgxa2P9PJuD6E0sIj?usp=share_link,ANN_Kente_Extension_2019.tif
ANN_Kente_Extension_2020.jpg,ANN_Kente_Extension_2020.tif,,,,,,,,,ANN_Kente_Extension_2020,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg/ANN_Kente_Extension_2020.jpg,https://drive.google.com/drive/folders/14MW_Qga2Y_h01NRbgxa2P9PJuD6E0sIj?usp=share_link,ANN_Kente_Extension_2020.tif
ANN_Kente_Extension_2021.jpg,ANN_Kente_Extension_2021.tif,,,,,,,,,ANN_Kente_Extension_2021,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg/ANN_Kente_Extension_2021.jpg,https://drive.google.com/drive/folders/14MW_Qga2Y_h01NRbgxa2P9PJuD6E0sIj?usp=share_link,ANN_Kente_Extension_2021.tif
ANN_Kente_Extension_2022.jpg,ANN_Kente_Extension_2022.tif,,,,,,,,,ANN_Kente_Extension_2022,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg/ANN_Kente_Extension_2022.jpg,https://drive.google.com/drive/folders/14MW_Qga2Y_h01NRbgxa2P9PJuD6E0sIj?usp=share_link,ANN_Kente_Extension_2022.tif
ANN_Kente_Extension_2023.jpg,ANN_Kente_Extension_2023.tif,,,,,,,,,ANN_Kente_Extension_2023,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg,/Users/manjushwarkhairkar/GitHub/Urban-Leaf-Health-Monitoring/data/02_comparison_based_on_events/tiff_to_jpeg/ANN_Kente_Extension_2023.jpg,https://drive.google.com/drive/folders/14MW_Qga2Y_h01NRbgxa2P9PJuD6E0sIj?usp=share_link,ANN_Kente_Extension_2023.tif
