filename,drive_folder,description,region,composite_type,phase,start_date,end_date,scene_count,task_id,scale_m,bands,crs,approx_size_mb,exported_at
MON_Hasdeo_Full_2016_10_pre_event.tif,Hasdeo_1000_Dataset,MON_Hasdeo_Full_2016_10_pre_event,Hasdeo_Full,monthly,pre_event,2016-10-01,2016-11-01,4,JEZ2ANATJFFJLFMOAINDZI6J,30,"B4,B3,B2 (RGB visualised, Uint8)",EPSG:32644,30–60,2026-02-22T15:18:41.660956
MON_Hasdeo_Full_2016_11_pre_event.tif,Hasdeo_1000_Dataset,MON_Hasdeo_Full_2016_11_pre_event,Hasdeo_Full,monthly,pre_event,2016-11-01,2016-12-01,5,NU5NUA2ZKMT2LRKSFEMU2ZCR,30,"B4,B3,B2 (RGB visualised, Uint8)",EPSG:32644,30–60,2026-02-22T15:18:44.380761
MON_Hasdeo_Full_2016_12_pre_event.tif,Hasdeo_1000_Dataset,MON_Hasdeo_Full_2016_12_pre_event,Hasdeo_Full,monthly,pre_event,2016-12-01,2017-01-01,3,EYGCSCJYQYZL2BFWELOUYYYV,30,"B4,B3,B2 (RGB visualised, Uint8)",EPSG:32644,30–60,2026-02-22T15:18:47.035672
MON_Hasdeo_Full_2017_01_pre_event.tif,Hasdeo_1000_Dataset,MON_Hasdeo_Full_2017_01_pre_event,Hasdeo_Full,monthly,pre_event,2017-01-01,2017-02-01,8,UDAVY72BFBY2EZNP4HNH3SRN,30,"B4,B3,B2 (RGB visualised, Uint8)",EPSG:32644,30–60,2026-02-22T15:18:50.667690
MON_Hasdeo_Full_2017_02_pre_event.tif,Hasdeo_1000_Dataset,MON_Hasdeo_Full_2017_02_pre_event,Hasdeo_Full,monthly,pre_event,2017-02-01,2017-03-01,4,HMELZI4GLWBRW7QEMSTAQOKV,30,"B4,B3,B2 (RGB visualised, Uint8)",EPSG:32644,30–60,2026-02-22T15:18:52.277644
MON_Hasdeo_Full_2017_03_pre_event.tif,Hasdeo_1000_Dataset,MON_Hasdeo_Full_2017_03_pre_event,Hasdeo_Full,monthly,pre_event,2017-03-01,2017-04-01,8,Y5LP5NJWQKXN4CILV6PBFCBS,30,"B4,B3,B2 (RGB visualised, Uint8)",EPSG:32644,30–60,2026-02-22T15:18:55.069497
MON_Hasdeo_Full_2017_11_pre_event.tif,Hasdeo_1000_Dataset,MON_Hasdeo_Full_2017_11_pre_event,Hasdeo_Full,monthly,pre_event,2017-11-01,2017-12-01,2,6BRPGQYCQMDH5TONK36DGHDP,30,"B4,B3,B2 (RGB visualised, Uint8)",EPSG:32644,30–60,2026-02-22T15:19:06.878248
MON_Hasdeo_Full_2017_12_pre_event.tif,Hasdeo_1000_Dataset,MON_Hasdeo_Full_2017_12_pre_event,Hasdeo_Full,monthly,pre_event,2017-12-01,2018-01-01,13,72ECRDYIDM4FSMFK75P2MTII,30,"B4,B3,B2 (RGB visualised, Uint8)",EPSG:32644,30–60,2026-02-22T15:19:08.894572
MON_Hasdeo_Full_2018_01_first_event.tif,Hasdeo_1000_Dataset,MON_Hasdeo_Full_2018_01_first_event,Hasdeo_Full,monthly,first_event,2018-01-01,2018-02-01,16,FELQ666LY6ERGT2UP5EMCREY,30,"B4,B3,B2 (RGB visualised, Uint8)",EPSG:32644,30–60,2026-02-22T15:19:12.679528
MON_Hasdeo_Full_2018_02_first_event.tif,Hasdeo_1000_Dataset,MON_Hasdeo_Full_2018_02_first_event,Hasdeo_Full,monthly,first_event,2018-02-01,2018-03-01,3,XIXZNR2XQAJNYVTYZDMBPXK3,30,"B4,B3,B2 (RGB visualised, Uint8)",EPSG:32644,30–60,2026-02-22T15:19:16.197348
MON_Hasdeo_Full_2018_03_first_event.tif,Hasdeo_1000_Dataset,MON_Hasdeo_Full_2018_03_first_event,Hasdeo_Full,monthly,first_event,2018-03-01,2018-04-01,8,W2Z2CJ4BCU5WFQ4Z5CKWQD3O,30,"B4,B3,B2 (RGB visualised, Uint8)",EPSG:32644,30–60,2026-02-22T15:19:18.126411
MON_Hasdeo_Full_2018_04_first_event.tif,Hasdeo_1000_Dataset,MON_Hasdeo_Full_2018_04_first_event,Hasdeo_Full,monthly,first_event,2018-04-01,2018-05-01,3,N7FFNBNBLWAVBLANECKFBHQV,30,"B4,B3,B2 (RGB visualised, Uint8)",EPSG:32644,30–60,2026-02-22T15:19:21.351688
